Dealer,Street,City,State,ZIP,Email,Contact_Type,Website,Source_URL,Radius_Status,Verified_Date,Notes
"Premier Auto Mart","","Hamilton","OH","","","Contact form","https://www.premierautomart.com/","https://www.premierautomart.com/","Within target area","2026-08-09","No public direct email found"
"Joseph Chevrolet","","Cincinnati","OH","","","Contact form","https://www.josephchevrolet.com/used-vehicles/","https://www.josephchevrolet.com/used-vehicles/","Within target area","2026-08-09","Used-vehicle inventory and dealership contact options"
"Midwest Auto Store","166 Weaver Rd","Florence","KY","41042","","Contact form","https://www.midwestautostore.com/mobile-best-price/","https://www.midwestautostore.com/mobile-best-price/","Within approximately 50 miles","2026-08-09","No public direct email found"
"RAM Motors","","Cincinnati","OH","","","Contact form","https://www.rammotorexpress.com/","https://www.rammotorexpress.com/","Within target area","2026-08-09","No public direct email found"
"McCluskey Automotive","435 East Galbraith Rd","Cincinnati","OH","45215","","Contact form","https://www.mccluskeyautomotive.com/","https://www.mccluskeyautomotive.com/","Within target area","2026-08-09","No public direct email found"
"Mira Auto Sales","","Cincinnati","OH","","","Contact form","https://www.miraautosales.net/","https://www.miraautosales.net/","Within target area","2026-08-09","No public direct email found"
"Lebanon Ford","","Lebanon","OH","","","Contact form","https://www.lebanonford.com/bargain-inventory/index.htm","https://www.lebanonford.com/bargain-inventory/index.htm","Within target area","2026-08-09","Used and bargain inventory; no public direct email found"
"Zimmer Motor","","Florence","KY","","","Contact form","https://www.zimmermotor.com/about-us/staff/","https://www.zimmermotor.com/about-us/staff/","Within approximately 50 miles","2026-08-09","No public direct email found"
"Mike Castrucci Chevrolet","","Milford","OH","","","Contact form","https://www.mikecastruccichevrolet.com/contactus.aspx","https://www.mikecastruccichevrolet.com/contactus.aspx","Within target area","2026-08-09","Used inventory available; no public direct email found"
"Elite Auto Exchange","","Dayton","OH","","","Contact form","https://www.eliteautox.net/","https://www.eliteautox.net/","Within approximately 50 miles","2026-08-09","No public direct email found"
"Car Sales Inc.","","Dayton","OH","","","Contact form","https://carsales.synthasite.com/","https://carsales.synthasite.com/","Within approximately 50 miles","2026-08-09","No public direct email found"
"Jake Sweeney SmartCredit","11521 Princeton Pike Front","Cincinnati","OH","45246","","Contact form","https://www.jakesweeneysmartcredit.com/","https://www.jakesweeneysmartcredit.com/","Within target area","2026-08-09","No separate public direct email found"
"Mark Sweeney Buick GMC","","Cincinnati","OH","","","Contact form","https://www.marksweeneyautos.com/","https://www.marksweeneyautos.com/","Within target area","2026-08-09","Used inventory available; no public direct email found"
"Byrider Dayton","","Dayton","OH","45459","","Contact form","https://www.byriderdayton.com/","https://www.byriderdayton.com/","Within approximately 50 miles","2026-08-09","No public direct email found"
"Monti's Auto Center","6323 Madison Rd","Cincinnati","OH","45227","","Contact form","https://www.montisautocenter.com/","https://www.montisautocenter.com/privacy-policy/","Within target area","2026-08-09","No public direct email found"
"Tri State Auto Sales","4505 Kellogg Ave","Cincinnati","OH","45226","","Contact form","https://www.tristateautosales.com/","https://www.tristateautosales.com/","Within target area","2026-08-09","No public direct email found"
"Northern Kentucky Auto Sales - Florence","10050 Norbotten Dr","Florence","KY","41042","","Contact form","https://nkyauto.com/contact-us","https://nkyauto.com/contact-us","Within approximately 50 miles","2026-08-09","Public inquiry form"
"Northern Kentucky Auto Sales - Cold Spring","137 Plaza Dr","Cold Spring","KY","41076","","Contact form","https://nkyauto.com/contact-us","https://nkyauto.com/contact-us","Within approximately 50 miles","2026-08-09","Public inquiry form"
"Jeff Schmitt Mazda","","Dayton","OH","","","Contact form","https://www.jeffschmittmazda.com/used-car-dealership-in-dayton-oh.htm","https://www.jeffschmittmazda.com/used-car-dealership-in-dayton-oh.htm","Within approximately 50 miles","2026-08-09","Used-car department public inquiry form"
"BM Auto Sales LLC","","Cincinnati","OH","","","Contact form","https://www.bmautosalesllc.com/","https://www.bmautosalesllc.com/","Within target area","2026-08-09","No public direct email found"
